No.,"Fine
Aggregate","Coarse
Aggregate",Fly ash,Cement,Slag,Water,Superplasticizer,Age,"Compressive 
Strength"
,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,kg/m3,days,mpa
101,935.9,957.2,140.4,141.1,93.6,132.6,17.4,28,48.08
102,935.9,957.2,140.4,141.1,93.6,132.6,17.4,56,55.97
103,935.9,957.2,140.4,141.1,93.6,132.6,17.4,91,64.14
104,935.9,957.2,140.4,141.1,93.6,132.6,17.4,180,66.47
105,868.5,888.2,130.3,318.5,86.8,132,18,3,38.94
106,868.5,888.2,130.3,318.5,86.8,132,18,7,55.01
107,868.5,888.2,130.3,318.5,86.8,132,18,28,63.76
108,868.5,888.2,130.3,318.5,86.8,132,18,56,66.32
109,868.5,888.2,130.3,318.5,86.8,132,18,91,68.86
110,868.5,888.2,130.3,318.5,86.8,129.8,20.2,3,36.89
111,868.5,888.2,130.3,318.5,86.8,129.8,20.2,7,53.47
112,868.5,888.2,130.3,318.5,86.8,129.8,20.2,28,64.87
113,868.5,888.2,130.3,318.5,86.8,129.8,20.2,56,67.88
114,868.5,888.2,130.3,318.5,86.8,129.8,20.2,91,69.1
115,868.5,888.2,130.3,318.5,86.8,136.8,13.2,3,41.82
116,868.5,888.2,130.3,318.5,86.8,136.8,13.2,7,60.45
117,868.5,888.2,130.3,318.5,86.8,136.8,13.2,28,61.55
118,868.5,888.2,130.3,318.5,86.8,136.8,13.2,56,62.89
119,868.5,888.2,130.3,318.5,86.8,136.8,13.2,91,65.06
120,883.2,903.2,132.5,279.5,88.3,133,17,3,36.05
121,883.2,903.2,132.5,279.5,88.3,133,17,7,52.96
122,883.2,903.2,132.5,279.5,88.3,133,17,28,61.73
123,883.2,903.2,132.5,279.5,88.3,133,17,56,65.28
124,883.2,903.2,132.5,279.5,88.3,133,17,91,70.05
125,883.2,903.2,132.5,279.5,88.3,135,15,3,7.17
126,883.2,903.2,132.5,279.5,88.3,135,15,7,49.95
127,883.2,903.2,132.5,279.5,88.3,135,15,28,56.54
128,883.2,903.2,132.5,279.5,88.3,135,15,56,59.62
129,883.2,903.2,132.5,279.5,88.3,135,15,91,61.73
130,891,839,305,185,10.25,127,16.03,3,21.1
131,891,839,305,185,10.25,127,16.03,7,38.8
132,891,839,305,185,10.25,127,16.03,28,61.1
133,891,839,305,185,10.25,127,16.03,56,69.2
134,891,839,305,185,10.25,127,16.03,90,75.9
135,872,820,299,214,11.85,136,13.7,3,26.8
136,872,820,299,214,11.85,136,13.7,7,44.5
137,872,820,299,214,11.85,136,13.7,28,66.5
138,872,820,299,214,11.85,136,13.7,56,76
139,872,820,299,214,11.85,136,13.7,90,81.5
140,852,802,292,243,13.45,145,11.68,3,30.6
141,852,802,292,243,13.45,145,11.68,7,39
142,852,802,292,243,13.45,145,11.68,28,59.3
143,852,802,292,243,13.45,145,11.68,56,62.1
144,852,802,292,243,13.45,145,11.68,90,66.3
145,891,839,305,170,9.43,139,9.31,265,18.7
146,891,839,305,170,9.43,139,9.31,7,29
147,891,839,305,170,9.43,139,9.31,28,43.8
148,891,839,305,170,9.43,139,9.31,56,52.1
149,891,839,305,170,9.43,139,9.31,90,59.4
150,891,839,305,156,8.67,146,6.77,3,14.3
151,891,839,305,156,8.67,146,6.77,7,24.8
152,891,839,305,156,8.67,146,6.77,28,39.1
153,891,839,305,156,8.67,146,6.77,56,44.9
154,891,839,305,156,8.67,146,6.77,90,47.7
155,891,839,305,143,7.94,152,6.45,3,11.7
156,891,839,305,143,7.94,152,6.45,7,17.2
157,891,839,305,143,7.94,152,6.45,28,29.1
158,891,839,305,143,7.94,152,6.45,56,34.2
159,891,839,305,143,7.94,152,6.45,90,37.1
160,891,839,305,109,6.02,166,3.84,3,5.5
161,891,839,305,109,6.02,166,3.84,7,8.4
162,891,839,305,109,6.02,166,3.84,28,11.9
163,891,839,305,109,6.02,166,3.84,56,18.2
164,891,839,305,109,6.02,166,3.84,90,23.4
165,883,951,0,348,0,209,0,28,55.7
166,883,951,0,348,0,209,0,90,57.5
167,883,952,0,175,175,210,0,28,51.33
168,883,952,0,175,175,210,0,90,55.3
169,872,940,176,176,0,211,0,28,34.2
170,872,940,176,176,0,211,0,90,43.3
171,881,951,88,176,88,211,0,28,42.9
172,881,951,88,176,88,211,0,90,51.2
173,877,946,0,450,0,167,4.4,28,86.1
174,877,946,0,450,0,167,4.4,90,92.2
175,876,945,0,222,222,168,4.5,28,89.9
176,876,945,0,222,222,168,4.5,90,91.5
177,855,921,221,221,0,167,3.4,28,72.8
178,855,921,221,221,0,167,3.4,90,78.2
179,865,933,111,222,111,168,4.7,28,83.1
180,865,933,111,222,111,168,4.7,90,86.6
181,568.7,1164.42,0,390,0,185,0,28,24
182,568.7,1164.42,0,390,0,185,0,91,28
183,568.7,1164.42,0,370.5,0,185,0,28,33
184,568.7,1164.42,0,370.5,0,185,0,91,35
185,568.7,1164.42,0,351,0,185,0,28,34
186,568.7,1164.42,0,351,0,185,0,91,37
187,596,1136,0,584,0,187,11.7,90,52.67
188,596,1136,146,438,0,187,11.7,90,53.67
189,596,1194,146,438,0,187,11.7,90,25.86
190,568.7,1164.12,0,390,0,185,0,28,24
191,568.7,1164.12,39,351,0,185,0,28,23
192,568.7,1164.12,78,312,0,185,0,28,22
193,568.7,1164.12,117,273,0,185,0,28,21
194,830,1000,0,328,0,177,0,28,33.5
195,810,975,112,261,0,180,0,28,41
196,815,980,112,261,0,172,0,28,40.5
197,820,980,112,261,0,163,0,28,46.5
198,800,970,0,362,0,175,0,28,48.5
199,780,940,123,288,0,169,0,28,46
200,785,945,123,288,0,172,0,28,44
201,790,950,123,288,0,172,0,28,52
202,600,970,0,611,0,146,12.2,28,79.5
203,555,895,208,486,0,162,13.9,28,84
204,565,905,208,486,0,153,13.9,28,72.5
205,570,915,208,486,0,142,13.9,28,71
206,740,1185,0,355,0,145.5,5.11,28,74
207,661,1185,132,308,0,141,4.77,28,70
208,665,1185,176,264,0,136.5,4.75,28,65
209,594,1185,0,517,0,150,6.77,28,96
210,570,1185,155,362,0,150,4.8,28,92
211,561,1185,207,311,0,150,4.24,28,89
212,655,1165,0,372,0,186,0,3,26
213,655,1165,0,372,0,186,0,7,31.6
214,655,1165,0,372,0,186,0,28,39.3
215,655,1165,0,372,0,186,0,180,49.3
216,655,1165,0,280,92,186,0,3,19.5
217,655,1165,0,280,92,186,0,7,27.1
218,655,1165,0,280,92,186,0,28,41.1
219,655,1165,0,280,92,186,0,180,51.1
220,655,1165,0,186,186,186,0,3,11.3
221,655,1165,0,186,186,186,0,7,20.7
222,655,1165,0,186,186,186,0,28,35.3
223,655,1165,0,186,186,186,0,180,46.1
224,655,1165,92,280,0,186,0,3,17.9
225,655,1165,92,280,0,186,0,7,22.7
226,655,1165,92,280,0,186,0,28,31.5
227,655,1165,92,280,0,186,0,180,44.3
228,681,1209,216,156,0,130,3.6,3,14.7
229,681,1209,216,156,0,130,3.6,7,20
230,681,1209,216,156,0,130,3.6,28,32.1
231,681,1209,216,156,0,130,3.6,180,44.3
232,655,1165,0,335,0,186,0,3,28.9
233,655,1165,0,335,0,186,0,7,37.8
234,655,1165,0,335,0,186,0,28,48.4
235,655,1165,0,335,0,186,0,180,48.9
236,777,988,0,280,0,202,0,3,14.6
237,777,988,0,280,0,202,0,7,20.9
238,777,988,0,280,0,202,0,28,25
239,777,988,0,280,0,202,0,56,27.6
240,777,988,0,280,0,202,0,91,29
241,777,988,0,280,0,202,0,365,36.5
242,788,1003,56,224,0,185,0.5,3,12.9
243,788,1003,56,224,0,185,0.5,7,18.9
244,788,1003,56,224,0,185,0.5,28,25.4
245,788,1003,56,224,0,185,0.5,56,28.5
246,788,1003,56,224,0,185,0.5,91,32.1
247,788,1003,56,224,0,185,0.5,365,43.2
248,802,1041,112,168,0,157,2.1,3,10.4
249,802,1041,112,168,0,157,2.1,7,16.8
250,802,1041,112,168,0,157,2.1,28,25.6
251,802,1041,112,168,0,157,2.1,56,30
252,802,1041,112,168,0,157,2.1,91,35.2
253,802,1041,112,168,0,157,2.1,365,39.4
254,801,1106,168,112,0,124,3.9,3,9.7
255,801,1106,168,112,0,124,3.9,7,14.5
256,801,1106,168,112,0,124,3.9,28,23.5
257,801,1106,168,112,0,124,3.9,56,25.6
258,801,1106,168,112,0,124,3.9,91,30.6
259,801,1106,168,112,0,124,3.9,365,41.2
260,737,977,0,340,0,203,0.4,3,20.4
261,737,977,0,340,0,203,0.4,7,27.2
262,737,977,0,340,0,203,0.4,28,34.5
263,737,977,0,340,0,203,0.4,56,37.2
264,737,977,0,340,0,203,0.4,91,40.3
265,737,977,0,340,0,203,0.4,365,44.6
266,743,985,68,272,0,188,0.8,3,17.6
267,743,985,68,272,0,188,0.8,7,23.9
268,743,985,68,272,0,188,0.8,28,36.5
269,743,985,68,272,0,188,0.8,56,40.8
270,743,985,68,272,0,188,0.8,91,45.8
271,743,985,68,272,0,188,0.8,365,54.7
272,752,1017,136,204,0,163,1.7,3,17.8
273,752,1017,136,204,0,163,1.7,7,24.7
274,752,1017,136,204,0,163,1.7,28,40.3
275,752,1017,136,204,0,163,1.7,56,42.5
276,752,1017,136,204,0,163,1.7,91,51.3
277,752,1017,136,204,0,163,1.7,365,62.4
278,756,1089,204,136,0,124,3.3,3,13.3
279,756,1089,204,136,0,124,3.3,7,18.9
280,756,1089,204,136,0,124,3.3,28,34.5
281,756,1089,204,136,0,124,3.3,56,38.8
282,756,1089,204,136,0,124,3.3,91,47.8
283,756,1089,204,136,0,124,3.3,365,65.3
284,737,977,0,340,0,203,0.4,3,20.4
285,737,977,0,340,0,203,0.4,7,27.2
286,737,977,0,340,0,203,0.4,28,34.5
287,737,977,0,340,0,203,0.4,56,37.2
288,737,977,0,340,0,203,0.4,91,40.3
289,737,977,0,340,0,203,0.4,365,44.6
290,743,985,68,272,0,188,1.5,3,16.8
291,743,985,68,272,0,188,1.5,7,22.4
292,743,985,68,272,0,188,1.5,28,34.9
293,743,985,68,272,0,188,1.5,56,36.1
294,743,985,68,272,0,188,1.5,91,39.6
295,743,985,68,272,0,188,1.5,365,46.2
296,752,1017,136,204,0,163,2.7,3,11.3
297,752,1017,136,204,0,163,2.7,7,21.5
298,752,1017,136,204,0,163,2.7,28,34.1
299,752,1017,136,204,0,163,2.7,56,37.4
300,752,1017,136,204,0,163,2.7,91,40.8
301,752,1017,136,204,0,163,2.7,365,54.3
302,756,1089,204,136,0,124,5,3,12.1
303,756,1089,204,136,0,124,5,7,17.8
304,756,1089,204,136,0,124,5,28,30.5
305,756,1089,204,136,0,124,5,56,33.9
306,756,1089,204,136,0,124,5,91,39
307,756,1089,204,136,0,124,5,365,55.8
308,641.3,960.8,0,430,0,195.5,5.8,28,40.23
309,670.3,1024.9,0,367.1,0,180.5,4.4,28,45.84
310,675.4,1018.5,0,385.8,0,173.6,6.9,28,49.51
311,684.9,1024.1,0,384.7,0,174,8.4,28,59.95
312,682.1,1020.4,0,380,0,178,3.8,28,45.03
313,682.6,1020.7,0,379.8,0,177.9,4.1,28,60.58
314,685.5,1020.8,0,376.2,0,177.8,4,28,59.01
315,658.1,1038.2,0,391.9,0,170.9,5.8,28,52.68
316,664.7,1027.1,0,408.4,0,165.6,9,28,62.07
317,670.8,1040.6,0,407.7,0,165.7,10.4,28,72.21
318,664.2,1032.9,0,402.1,0,168.3,5.7,28,64.27
319,665.5,1034.9,0,402,0,168.2,4.9,28,70.45
320,666.3,1034.4,0,400.5,0,167.5,5.9,28,68.64
321,660,989,0,455,0,167.4,10.2,28,62.96
322,644.1,1049.8,0,418.3,0,161.8,7.8,28,59.9
323,653.3,1033.5,0,430.6,0,158.5,11.5,28,71.91
324,657,1055.1,0,430.4,0,158.3,12.6,28,67.54
325,653.2,1042.3,0,423.8,0,159.7,8.3,28,85.61
326,654.7,1044.6,0,423.8,0,159.7,7.2,28,81.07
327,665,997,0,470,0,156.4,11.6,28,64.7
328,627.2,1057.7,0,446.5,0,153.1,10.5,28,78.02
329,642.8,1040.5,0,452.6,0,152,14.2,28,69.07
330,643.4,1067.7,0,453.1,0,151.6,12.6,28,78.6
331,641.6,1049.2,0,445.7,0,151.9,11.2,28,97.75
332,643.2,1052,0,445.8,0,151.9,9.8,28,93.67
333,642.2,1047.2,0,443.4,0,152,12.7,28,88.28
334,669,1002,0,480,0,145.8,15.6,28,71.32
335,608.6,1063.5,0,476.7,0,144.9,14.5,28,91.89
336,630.3,1043.5,0,474.7,0,146.1,17.7,28,81.79
337,629.7,1078.8,0,476,0,145.4,15.6,28,96.5
338,627.2,1050.5,0,467.8,0,144.7,16.7,28,100.67
339,631.6,1058.2,0,468.1,0,144.8,12.3,28,102.71
340,629.2,1050.2,0,465,0,145.3,16.9,28,102.2
341,588.4,1066.9,0,508.8,0,137.2,19.5,28,99.95
342,616.9,1044.7,0,497.1,0,140.6,22.4,28,70.64
343,615.8,1088.5,0,499.3,0,139.6,19.2,28,103.1
344,614.1,1053,0,490.5,0,138,20.7,28,103.56
345,615.1,1055.2,0,491,0,138.1,19.6,28,113.15
346,612.5,1045.7,0,487.1,0,139,24.8,28,108.9
347,773,1044,0,511,0,143,5.11,7,42.54
348,773,1044,0,511,0,143,5.11,28,47.37
349,773,1044,0,486,0,143,5.11,7,44.58
350,773,1044,0,486,0,143,5.11,28,49.49
351,773,1044,0,461,0,143,5.11,7,45.86
352,773,1044,0,461,0,143,5.11,28,50.9
353,773,1044,0,436,0,143,5.11,7,49.93
354,773,1044,0,436,0,143,5.11,28,55.85
355,773,1044,0,411,0,143,5.11,7,46.87
356,773,1044,0,411,0,143,5.11,28,52.32
357,773,1044,0,386,0,143,5.11,7,43.82
358,773,1044,0,386,0,143,5.11,28,48.78
359,551,1118,86,427,0,218,0,90,41.5
360,713.21,1104.2,0,425.73,0,191.58,0,3,10.7
361,713.21,1104.2,0,425.73,0,191.58,0,7,15
362,713.21,1104.2,0,425.73,0,191.58,0,28,24
363,713.21,1104.2,0,425.73,0,191.58,0,56,38
364,713.21,1104.2,0,412.95,0,191.58,0,3,11
365,713.21,1104.2,0,412.95,0,191.58,0,7,14.5
366,713.21,1104.2,0,412.95,0,191.58,0,28,25.5
367,713.21,1104.2,0,412.95,0,191.58,0,56,39
368,713.21,1104.2,0,400.18,0,191.58,0,3,11
369,713.21,1104.2,0,400.18,0,191.58,0,7,15
370,713.21,1104.2,0,400.18,0,191.58,0,28,25.5
371,713.21,1104.2,0,400.18,0,191.58,0,56,39
372,713.21,1104.2,0,383.15,0,191.58,0,3,15.67
373,713.21,1104.2,0,383.15,0,191.58,0,7,16.5
374,713.21,1104.2,0,383.15,0,191.58,0,28,25.36
375,713.21,1104.2,0,383.15,0,191.58,0,56,39.315
376,713.21,1104.2,0,374.64,0,191.58,0,3,15.67
377,713.21,1104.2,0,374.64,0,191.58,0,7,18.5
378,713.21,1104.2,0,374.64,0,191.58,0,28,25.36
379,713.21,1104.2,0,374.64,0,191.58,0,56,39.315
380,821,1095,0,383,0,147.35,0.5,28,39
381,680,904,105,273,82,210,9,28,34.99
382,658,923,144,154,112,220,10,28,26.82
383,829,860,115,147,89,202,9,28,25.21
384,853,750,227,145,0,240,6,28,36.59
385,892,785,237,152,0,204,6,28,32.71
386,722,895,140,304,0,214,6,28,38.46
387,883,751,136,145,106,208,10,28,26.02
388,902,768,139,148,109,193,7,28,28.03
389,836,735,167,142,130,215,6,28,31.37
390,691,959,0,354,0,234,6,28,33.91
391,730,1013,0,374,0,190,7,28,32.44
392,720,953,149,159,116,175,15,28,34.05
393,684,1002,239,153,0,200,6,28,28.29
394,766,750,136,295,106,206,11,28,41.01
395,804,914,143,310,0,168,10,28,49.3
396,685,932,0,296,97,219,9,28,29.23
397,705,959,0,305,100,196,10,28,29.77
398,804,787,143,310,0,218,10,28,36.19
399,749,961,0,146,178,192,11,28,17.19
400,775,871,164,140,128,183,12,28,33.38
401,686,783,142,308,111,217,10,28,42.08
402,650,871,136,295,106,208,6,28,39.4
403,655,878,137,298,107,201,6,28,41.27
404,757,851,161,314,0,207,6,28,41.14
405,774,870,164,321,0,190,5,28,45.82
406,721,785,178,349,0,230,6,28,43.95
407,757,824,187,366,0,191,7,28,52.65
408,827,759,115,274,89,202,9,28,35.52
409,757,708,214,137,167,226,6,28,34.45
410,790,810,127,275,99,184,13,28,43.54
411,821,835,97,252,76,194,8,28,33.11
412,729,1023,0,165,150,182,12,28,18.26
413,706,1035,246,158,0,174,7,28,34.99
414,698,1022,243,156,0,180,11,28,33.78
415,715,752,227,145,177,209,11,28,35.66
416,683,797,181,154,141,234,11,28,33.51
417,710,829,188,160,146,203,11,28,33.51
418,797,859,0,291,105,205,6,28,27.62
419,815,879,0,298,107,186,6,28,30.97
420,737,861,0,318,126,210,6,28,31.77
421,679,883,118,280,92,207,9,28,37.39
422,696,904,121,287,94,188,9,28,43.01
423,792,884,167,326,0,174,6,28,52.65
424,776,866,163,320,0,188,9,28,45.69
425,747,770,0,342,136,225,11,28,32.04
426,778,801,0,356,142,193,11,28,36.46
427,680,912,142,309,0,218,10,28,38.59
428,709,951,149,322,0,186,8,28,45.42
429,818,821,0,159,193,208,12,28,19.19
430,765,904,0,307,110,189,10,28,31.5
431,758,846,0,313,124,205,11,28,29.63
432,672,891,168,143,131,217,6,28,26.42
433,656,869,164,140,128,237,6,28,29.5
434,799,875,117,278,0,205,9,28,32.71
435,829,908,121,288,0,177,7,28,39.93
436,745,881,0,299,107,210,10,28,28.29
437,725,857,0,291,104,231,9,28,30.43
438,790,833,111,265,86,195,6,28,37.39
439,683,1041,248,159,0,175,12,28,35.39
440,688,1049,250,160,0,168,12,28,37.66
441,827,859,260,166,0,183,13,28,40.34
442,723,721,164,320,127,211,6,28,46.36
443,787,756,0,336,134,222,6,28,31.9
444,768,870,116,276,90,180,9,28,44.08
445,789,794,0,313,112,220,10,28,28.16
446,813,818,0,322,116,196,10,28,29.77
447,778,747,136,294,106,207,6,28,41.27
448,765,875,137,146,106,209,6,28,27.89
449,780,892,139,149,109,193,6,28,28.7
450,789,990,187,159,0,176,11,28,32.57
451,761,864,100,261,78,201,9,28,34.18
452,780.5,1049.9,198.1,140,1.4,174.9,4.4,28,30.83
453,789.2,996.1,209.5,141.1,0.6,188.8,4.6,28,30.43
454,710.1,1049.5,215.9,140.1,4.2,193.9,4.7,28,26.42
455,683.8,1020.9,226.1,140.1,11.8,207.8,4.9,28,26.28
456,841.1,781,240,160.2,0.3,233.5,9.2,28,36.19
457,742.7,1028.4,239,140.2,30.5,169.4,5.3,28,36.32
458,704,1047.6,234.9,140.2,44.8,171.3,5.5,28,33.78
459,681.4,1017.7,238.9,140.5,61.1,182.5,5.7,28,30.97
460,647.1,964.8,239.8,143.3,91.8,200.8,6.2,28,27.09
461,811.3,780.6,240,194.3,0.3,234.2,8.9,28,38.46
462,667.2,1000.2,239.7,150.4,110.9,168.1,6.5,28,37.92
463,670.5,999.5,238.8,150.3,111.4,167.3,6.5,28,38.19
464,652.5,966.8,240,155.4,122.1,179.9,6.7,28,35.52
465,652.6,883.2,238.3,165.3,143.2,200.4,7.1,28,32.84
466,715.3,780.1,239.8,303.8,0.2,236.4,8.3,28,44.48
467,649.1,884,239,215.6,112.9,198.7,7.4,28,39.13
468,722.9,780.3,239.9,295.3,0,236.2,8.3,28,44.08
469,640.6,954.2,239.1,248.3,101,168.9,7.7,28,49.97
470,644.1,949.9,239.9,248,101,169.1,7.7,28,50.23
471,646,938.9,239.6,258.8,88,175.3,7.6,28,50.5
472,651.8,908.9,239.9,297.1,40.9,194,7.5,28,49.17
473,758.1,786.2,223.1,348.7,0.1,208.5,9.6,28,48.77
474,944,871,0,400,0,180,0,7,22.5
475,944,871,0,400,0,180,0,28,31
476,944,871,0,400,0,180,0,90,34
477,941,868,40,360,0,180,0,7,20
478,941,868,40,360,0,180,0,28,28
479,941,868,40,360,0,180,0,90,38.6
480,937,865,80,320,0,180,0,7,17.5
481,937,865,80,320,0,180,0,28,26
482,937,865,80,320,0,180,0,90,37
483,933,852,120,280,0,180,0,7,14
484,933,852,120,280,0,180,0,28,21
485,933,852,120,280,0,180,0,90,32
486,941,869,0,380,0,180,0,7,21
487,941,869,0,380,0,180,0,28,30
488,941,869,0,380,0,180,0,90,35
489,937,865,0,360,0,180,0,7,26.2
490,937,865,0,360,0,180,0,28,40
491,937,865,0,360,0,180,0,90,43
492,935,863,40,340,0,180,0,7,22
493,935,863,40,340,0,180,0,28,28
494,935,863,40,340,0,180,0,90,38
495,932,861,80,280,0,180,0,7,20
496,932,861,80,280,0,180,0,28,31.1
497,932,861,80,280,0,180,0,90,40.7
498,930,858,120,260,0,180,0,7,16.4
499,930,858,120,260,0,180,0,28,26
500,930,858,120,260,0,180,0,90,37
501,610,1134,0,600,0,156,9.6,3,63.8
502,610,1134,0,600,0,156,9.6,7,71.2
503,610,1134,0,600,0,156,9.6,28,81.1
504,610,1134,0,420,180,156,9.6,3,69.3
505,610,1134,0,420,180,156,9.6,7,83.2
506,610,1134,0,420,180,156,9.6,28,100.4
507,610,1134,0,360,180,156,9.6,3,69.3
508,610,1134,0,360,180,156,9.6,7,87
509,610,1134,0,360,180,156,9.6,28,104
510,561,1191,0,474,0,180,4.74,3,43.1
